Tytuł,Firma,Data opublikowania,Wynagrodzenie,Technologie,Link
R&D Network Solutions Engineer,A4BEE Sp. z o.o.,2025-01-07,7 000–12 000,"['MikroTik', 'Cisco', 'Ubiquiti', 'Docker', 'Bash', 'Python', 'MQTT', 'Syslog', 'SNMP']","https://www.pracuj.pl/praca/r-d-network-solutions-engineer-wroclaw,oferta,1003795104?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
RPA Developer,Worldline,2025-01-07,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/rpa-developer-warszawa-prosta-68,oferta,1003807745?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Młodszy specjalista IT,BFI Sp. z o.o.,2025-01-07,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/mlodszy-specjalista-it-gdynia-aleja-zwyciestwa-173,oferta,1003800883?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Programista Java,FIRMA ALLIANCE AUTOMOTIVE SYSTEMS SP. Z O.O.,2025-01-07,Brak wynagrodzenia,"['Java', 'SQL', 'Hibernate', 'Spring Framework', 'Angular.js', 'Oracle', 'Docker', 'jQuery', 'Jenkins']","https://www.pracuj.pl/praca/programista-java-poznan-dabrowskiego-29,oferta,1003810128?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Junior Fullstack Developer,Accenture Technology,2025-01-07,Brak wynagrodzenia,"['Java', 'React']","https://www.pracuj.pl/praca/junior-fullstack-developer-warszawa,oferta,1003792509?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Specjalista DevOps,ALLIANCE TECHNOLOGY POLSKA,2025-01-07,Brak wynagrodzenia,"['Redhat/Ubuntu Linux', 'Oracle DB', 'PostgreSQL', 'Jenkins', 'Git', 'Sonar', 'Docker']","https://www.pracuj.pl/praca/specjalista-devops-poznan-dabrowskiego-29,oferta,1003810018?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Specjalista ds. informatyki (k/m),Polskie Sieci Elektroenergetyczne S.A.,2025-01-07,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/specjalista-ds-informatyki-k-m-warszawa-aleje-jerozolimskie-132,oferta,1003788290?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Programista C# / .NET,TM Technologie,2025-01-07,Brak wynagrodzenia,"['C#', 'WPF', 'ASP.NET Core MVC', 'GitLab', 'SQL', 'MySQL']","https://www.pracuj.pl/praca/programista-c%23-net-morawica-pow-krakowski-355,oferta,1003794553?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
"Software Engineer, Early Career, Campus",Google,2025-01-07,Brak wynagrodzenia,"['Python', 'C', 'C++', 'Java', 'JavaScript']","https://www.pracuj.pl/praca/software-engineer-early-career-campus-warszawa-emilii-plater-53,oferta,1003805916?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Workday Financial Consultant,ORNSSON SOLUTIONS,2025-01-07,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/workday-financial-consultant-warszawa,oferta,1003802075?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Technik serwisu,EXORIGO UPOS S.A.,2025-01-07,Brak wynagrodzenia,"['Windows Server', 'Linux']","https://www.pracuj.pl/praca/technik-serwisu-gliwice,oferta,1003800454?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Młodszy Specjalista IT,CDM SMITH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2025-01-07,Brak wynagrodzenia,"['Active Directory', 'MS Windows', 'Office 365']","https://www.pracuj.pl/praca/mlodszy-specjalista-it-warszawa-aleje-jerozolimskie-123,oferta,1003816083?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
