Tytuł,Firma,Data opublikowania,Wynagrodzenie,Technologie,Link
Junior MAUI Developer,Sii Sp. z o.o.,2025-01-06,Brak wynagrodzenia,"['.NET', 'MAUI', 'C#', 'MVVM']","https://www.pracuj.pl/praca/junior-maui-developer-warszawa-aleja-niepodleglosci-69,oferta,1003789340?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Specjalista ds. cyberbezpieczeństwa,PREBYTES,2025-01-06,Brak wynagrodzenia,"['JavaScript', 'PHP', 'HTML', 'CSS', 'SQL']","https://www.pracuj.pl/praca/specjalista-ds-cyberbezpieczenstwa-rzeszow-jana-twardowskiego-3,oferta,1003791423?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Informatyk,Deftrans Sp. z o.o.,2025-01-06,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/informatyk-jedlanka-pow-lukowski,oferta,1003789314?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Asystent / Asystentka zespołu cyberbezpieczeństwa,PREBYTES,2025-01-06,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/asystent-asystentka-zespolu-cyberbezpieczenstwa-lezajsk-sandomierska-6,oferta,1003791420?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Młodszy administrator systemów IT,PREBYTES,2025-01-06,Brak wynagrodzenia,"['Linux', 'Windows', 'MacOS', 'iOS']","https://www.pracuj.pl/praca/mlodszy-administrator-systemow-it-lezajsk-sandomierska-6,oferta,1003791421?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Specjalista ds. wsparcia technicznego IT / Helpdesk,PREBYTES,2025-01-06,Brak wynagrodzenia,"['iOS', 'Android']","https://www.pracuj.pl/praca/specjalista-ds-wsparcia-technicznego-it-helpdesk-lezajsk-sandomierska-6,oferta,1003791422?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Junior .NET Developer,THE DOTS CONNECTED sp. z o.o.,2025-01-06,5 000–8 000 zł netto (+ VAT) / mies.,"['.NET', 'C#', 'ASP.NET', 'Entity Framework']","https://www.pracuj.pl/praca/junior-net-developer-warszawa,oferta,1003804787?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Specjalista ds. Zarządzania Tożsamością i Dostępem (LUX MED Ubezpieczenia),LUX MED Sp. z o.o.,2025-01-05,Brak wynagrodzenia,"['SQL', 'Python', 'AWS', 'Linux', 'Confluence', 'Azure DevOps']","https://www.pracuj.pl/praca/specjalista-ds-zarzadzania-tozsamoscia-i-dostepem-lux-med-ubezpieczenia-warszawa-szturmowa-2,oferta,1003798610?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Specjalista ds. Monitorowania Bezpieczeństwa i Analizy Zagrożeń (LUX MED Ubezpieczenia),LUX MED Sp. z o.o.,2025-01-05,Brak wynagrodzenia,"['SQL', 'Python', 'AWS', 'Azure Cosmos DB', 'Linux', 'Confluence']","https://www.pracuj.pl/praca/specjalista-ds-monitorowania-bezpieczenstwa-i-analizy-zagrozen-lux-med-ubezpiecz-warszawa-szturmowa-2,oferta,1003798609?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
IT Support Specialist,EndySoft,2025-01-05,8 700–12 200 zł netto (+ VAT) / mies.,"['Active Directory', 'ServiceNow', 'JIRA']","https://www.pracuj.pl/praca/it-support-specialist-warszawa,oferta,1003798749?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Specjalista IT,ITCenter Sp. z o.o. Sp. k.,2025-01-05,9 000–15 000 zł netto (+ VAT) / mies.,"['HA Hyper-V', 'VMWare', 'Azure', 'AWS', 'M365', 'Veeam', 'Linux', 'Active Directory']","https://www.pracuj.pl/praca/specjalista-it-warszawa-ludwika-kondratowicza-37,oferta,1003802513?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Młodszy Specjalista ds. Automatyzacji i Robotyzacji Procesów,DAKO Sp. z o.o.,2025-01-05,Brak wynagrodzenia,"['Python', 'C#', 'Java', 'SQL']","https://www.pracuj.pl/praca/mlodszy-specjalista-ds-automatyzacji-i-robotyzacji-procesow-nowy-sacz-aleje-pilsudskiego-88,oferta,1003802565?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
SQL Intern,GGS IT Consulting,2025-01-05,4 700–5 500 zł brutto / mies.,Brak technologii,"https://www.pracuj.pl/praca/sql-intern-krakow-cystersow-13,oferta,1003802374?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Internship - Test Engineer for Test Automation Team,Samsung R&D Institute Poland,2025-01-05,Brak wynagrodzenia,"['Jira', 'Confluence', 'Python']","https://www.pracuj.pl/praca/internship-test-engineer-for-test-automation-team-warszawa-plac-europejski-1,oferta,1003810957?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Internship - Linux Embedded Intern in Automotive Team,Samsung R&D Institute Poland,2025-01-05,Brak wynagrodzenia,"['C', 'C++', 'Linux', 'Android', 'Git']","https://www.pracuj.pl/praca/internship-linux-embedded-intern-in-automotive-team-warszawa-plac-europejski-1,oferta,1003810961?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Internship - Mobile Devices Tester,Samsung R&D Institute Poland,2025-01-05,Brak wynagrodzenia,['MS Office'],"https://www.pracuj.pl/praca/internship-mobile-devices-tester-warszawa-plac-europejski-1,oferta,1003810956?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Internship - Automotive Software Tester with Python,Samsung R&D Institute Poland,2025-01-05,Brak wynagrodzenia,['Git'],"https://www.pracuj.pl/praca/internship-automotive-software-tester-with-python-warszawa-plac-europejski-1,oferta,1003810960?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Specjalista Wsparcia IT,BALTIC HUB CONTAINER TERMINAL sp. z o. o.,2025-01-05,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/specjalista-wsparcia-it-gdansk-kontenerowa-7,oferta,1003810703?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
2025 Customer Engineering Summer Intern,Equinix,2025-01-05,Brak wynagrodzenia,['SQL'],"https://www.pracuj.pl/praca/2025-customer-engineering-summer-intern-warszawa-plac-europejski-1,oferta,1003810690?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Junior QA Specialist,MASTERBORN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2025-01-05,5 000–8 000,"['SQL', 'Jira', 'DevTools', 'API']","https://www.pracuj.pl/praca/junior-qa-specialist-wroclaw-krupnicza-13,oferta,1003785852?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Młodszy Administrator Systemów IT,GATES POLSKA Sp. z o.o.,2025-01-05,Brak wynagrodzenia,"['Windows Server', 'Active Directory']","https://www.pracuj.pl/praca/mlodszy-administrator-systemow-it-legnica-jaworzynska-301,oferta,1003781273?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Analityk Biznesowy IT,ITligent Group Sp. z o.o.,2025-01-05,14 000–16 000 zł netto (+ VAT) / mies.,"['Enterprise Architect', 'UML', 'BPMN']","https://www.pracuj.pl/praca/analityk-biznesowy-it-warszawa-karola-szajnochy-5,oferta,1003785762?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Junior Software Engineer (Embedded),Adtran,2025-01-05,10 000–13 000 zł brutto / mies.,"['C', 'C++', 'Linux']","https://www.pracuj.pl/praca/junior-software-engineer-embedded-gdynia-luzycka-8c,oferta,1003797895?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Program Stażowy Magenta Start - SOC L1,T-Mobile,2025-01-05,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/program-stazowy-magenta-start-soc-l1-warszawa-marynarska-12,oferta,1003781095?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Engagement Manager,ITDS Polska Sp. z o.o.,2025-01-05,15 000–22 000,"['Microsoft Office', 'Adobe Creative Suite', 'Adobe Premiere']","https://www.pracuj.pl/praca/engagement-manager-krakow,oferta,1003790759?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Menedżer Produktu Cyfrowego,Millennium Goodie Sp. z o.o.,2025-01-05,Brak wynagrodzenia,"['Jira', 'Confluence', 'Mural', 'Google Analytics', 'Firebase', 'HotJar', 'AppsFlyer']","https://www.pracuj.pl/praca/menedzer-produktu-cyfrowego-warszawa-stanislawa-zaryna-2a,oferta,1003788708?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
SAP Advanced User - Specjalistka/Specjalista ds. Programów Magazynowych,Żabka Polska,2025-01-05,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/sap-advanced-user-specjalistka-specjalista-ds-programow-magazynowych-malopole-pow-wolominski-graniczna-20a,oferta,1003807729?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Specjalista / Specjalistka ds. Testów,Sygnity S.A.,2025-01-05,Brak wynagrodzenia,"['SQL', 'Jira', 'Confluence']","https://www.pracuj.pl/praca/specjalista-specjalistka-ds-testow-warszawa-postepu-17b,oferta,1003807681?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Młodszy Programista,MAP solutions Sp. z o.o.,2025-01-05,Brak wynagrodzenia,"['MS Visual Studio', 'C#', 'MS SQL']","https://www.pracuj.pl/praca/mlodszy-programista-legionowo,oferta,1003807649?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Asystentka / Asystent ds. Helpdesk IT,Grupa Cichy-Zasada sp. z o.o. sp. j.,2025-01-05,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/asystentka-asystent-ds-helpdesk-it-wysogotowo-pow-poznanski-wierzbowa-84,oferta,1003780678?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Specjalista Service desk,LOTTOMERKURY sp. z o.o.,2025-01-05,Brak wynagrodzenia,"['Jira', 'Active Directory']","https://www.pracuj.pl/praca/specjalista-service-desk-warszawa-grochowska-278,oferta,1003809936?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Konsultant SAP SD/MM,IT CONNECT Sp. z o.o. Sp. k.,2025-01-05,Brak wynagrodzenia,"['SAP SD', 'SAP MM']","https://www.pracuj.pl/praca/konsultant-sap-sd-mm-warszawa,oferta,1003788190?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Intern in Group Structure Master Data Team,Eurofins GSC Poland Sp. z o. o.,2025-01-05,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/intern-in-group-structure-master-data-team-katowice,oferta,1003780585?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Junior ServiceNow Developer,StoneX Financial LTD Sp. z o.o. Oddział w Polsce,2025-01-05,Brak wynagrodzenia,"['JavaScript', 'HTML', 'CSS']","https://www.pracuj.pl/praca/junior-servicenow-developer-krakow-mogilska-35,oferta,1003784907?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Brak tytułu,Bergman Engineering Sp. z o.o.,2025-01-05,Brak wynagrodzenia,"['Jira', 'Confluence']",Brak linku
Desktop Support Engineer,Sharp Brains,2025-01-05,8 000–12 000,"['Active Directory', 'Jira']","https://www.pracuj.pl/praca/desktop-support-engineer-gdansk-marynarki-polskiej-163,oferta,1003790128?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Marketing Automation Intern,5 BONSAI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2025-01-05,Brak wynagrodzenia,['Microsoft Excel'],"https://www.pracuj.pl/praca/marketing-automation-intern-warszawa-konstruktorska-12,oferta,1003787805?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Brak tytułu,KPMG,2025-01-05,Brak wynagrodzenia,"['Python', 'PyTorch', 'Huggingface']",Brak linku
Junior Shopify Developer,Sintra Consulting Poland,2025-01-05,6 000–9 000 zł netto (+ VAT) / mies.,"['HTML', 'CSS', 'SQL', 'JavaScript', 'PHP', 'jQuery', 'Backbone.js', 'Foundation', 'Bootstrap']","https://www.pracuj.pl/praca/junior-shopify-developer-rzeszow-stroma-16,oferta,1003775318?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Technical Support Agent with Portugese & English,HCL Poland,2025-01-05,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/technical-support-agent-with-portugese-english-wroclaw,oferta,1003807193?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Internship - LTE/5G Mobile Telecommunication Intern,Samsung R&D Institute Poland,2025-01-05,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/internship-lte-5g-mobile-telecommunication-intern-warszawa-plac-europejski-1,oferta,1003775132?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Inżynier Danych SQL & Power BI,POLENERGIA S.A.,2025-01-05,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/inzynier-danych-sql-power-bi-warszawa-krucza-24-26,oferta,1003807177?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Młodszy Informatyk / HelpDesk,Climamedic Sp. z o.o. Sp. k.,2025-01-05,Brak wynagrodzenia,"['Windows Server', 'Active Directory']","https://www.pracuj.pl/praca/mlodszy-informatyk-helpdesk-reguly-pow-pruszkowski-stanislawa-bodycha-73a,oferta,1003787372?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Paid Spring Internship - .Net/Testing,Aspire Systems Poland,2025-01-05,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/paid-spring-internship-net-testing-gdansk-aleja-grunwaldzka-472c,oferta,1003796123?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Praktykant / Praktykantka - IT,SENSORBITE PROSTA S.A.,2025-01-05,Brak wynagrodzenia,"['GIS', 'QGIS']","https://www.pracuj.pl/praca/praktykant-praktykantka-it-warszawa,oferta,1003787078?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Junior IT Administrator,Atlanta Poland S.A.,2025-01-05,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/junior-it-administrator-gdansk-zalogowa-17,oferta,1003807008?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Junior Tester in QA Team,Samsung R&D Institute Poland,2025-01-05,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/junior-tester-in-qa-team-warszawa-plac-europejski-1,oferta,1003808895?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
"Software Engineer - Infrastructure, Commerce",Google,2025-01-05,Brak wynagrodzenia,['SQL'],"https://www.pracuj.pl/praca/software-engineer-infrastructure-commerce-warszawa-emilii-plater-53,oferta,1003789463?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Młodszy Administrator systemu SAP moduł SD,Grupa Maspex,2025-01-05,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/mlodszy-administrator-systemu-sap-modul-sd-wadowice,oferta,1003786927?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Software Engineer II - Buyable Corpus Software Engineering,Google,2025-01-05,Brak wynagrodzenia,"['Python', 'C', 'C++', 'Java', 'JavaScript']","https://www.pracuj.pl/praca/software-engineer-ii-buyable-corpus-software-engineering-warszawa-emilii-plater-53,oferta,1003789430?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Technical Support Agent with Dutch & English,HCL Poland,2025-01-05,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/technical-support-agent-with-dutch-english-wroclaw,oferta,1003806927?s=885d2942&searchId=MTczNjI5ODAwNTczOS4wNjg4"
Internship – Mobile Security Intern,Samsung R&D Institute Poland,2025-01-05,Brak wynagrodzenia,"['C', 'C++']","https://www.pracuj.pl/praca/internship-mobile-security-intern-warszawa-plac-europejski-1,oferta,1003808711?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Młodszy Specjalista / Młodsza Specjalistka ds. Wsparcia Użytkownika,Unum Życie TUiR S.A.,2025-01-05,Brak wynagrodzenia,['Active Directory'],"https://www.pracuj.pl/praca/mlodszy-specjalista-mlodsza-specjalistka-ds-wsparcia-uzytkownika-warszawa-lucka-9,oferta,1003779557?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Brak tytułu,B2B.NET S.A.,2025-01-05,Brak wynagrodzenia,['SailPoint IIQ'],Brak linku
"Software Engineer - Early Career, Cloud AI",Google,2025-01-05,Brak wynagrodzenia,"['Python', 'C', 'C++', 'Java', 'JavaScript']","https://www.pracuj.pl/praca/software-engineer-early-career-cloud-ai-warszawa-emilii-plater-53,oferta,1003789372?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Młodszy Administrator SAP Basis,Grupa Maspex,2025-01-05,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/mlodszy-administrator-sap-basis-wadowice,oferta,1003786733?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Tester manualny,B2B.NET S.A.,2025-01-05,Brak wynagrodzenia,['Linux'],"https://www.pracuj.pl/praca/tester-manualny-wroclaw-grabarska-2,oferta,1003789320?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Tester manualny,B2B.NET S.A.,2025-01-05,Brak wynagrodzenia,['Linux'],"https://www.pracuj.pl/praca/tester-manualny-wroclaw-grabarska-2,oferta,1003789319?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Junior Cloud Engineer,Reply Polska Sp. z o.o.,2025-01-04,5 000–9 000 zł brutto / mies.,"['Terraform', 'Docker', 'Java', 'Bash', 'AWS', 'Redis', 'Jira', 'Confluence']","https://www.pracuj.pl/praca/junior-cloud-engineer-katowice-wroclawska-54,oferta,1003804267?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
SAP ABAP Internship (She/He/They),Accenture Technology,2025-01-04,Brak wynagrodzenia,['SAP'],"https://www.pracuj.pl/praca/sap-abap-internship-she-he-they-lodz,oferta,1003802240?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
SAP ABAP Internship (She/He/They),Accenture Technology,2025-01-04,Brak wynagrodzenia,['SAP'],"https://www.pracuj.pl/praca/sap-abap-internship-she-he-they-lodz,oferta,1003802249?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Programista,Hogart,2025-01-04,5 000–13 000,"['C#', 'ASP.NET', 'ASP.NET Core', 'Visual Studio', 'MS SQL Server', 'API (REST/SOAP)', 'MVC', 'WebForms']","https://www.pracuj.pl/praca/programista-warszawa,oferta,1003806586?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Junior IT Consultant,HAVI Logistics Sp. z o.o.,2025-01-04,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/junior-it-consultant-warszawa-marynarska-15,oferta,1003798062?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Group Project Coordinator,Stock Polska Sp. z o.o.,2025-01-04,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/group-project-coordinator-warszawa-czerniakowska-87a,oferta,1003797998?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Junior Data Engineer,PUMANTA sp. z o.o.,2025-01-04,Brak wynagrodzenia,"['SQL', 'Snowflake Data Cloud', 'Oracle', 'Python']","https://www.pracuj.pl/praca/junior-data-engineer-warszawa-szczesliwicka-29,oferta,1003783376?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Opiekun Klienta Systemu DMS,ROUNDBYTE sp. z o.o.,2025-01-04,5 000–6 500,"['Microsoft 365', 'SQL']","https://www.pracuj.pl/praca/opiekun-klienta-systemu-dms-poznan-wroclawska-12,oferta,1003783373?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Junior Delivery Engineer,MASTERBORN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2025-01-04,5 000–10 000,"['SQL', 'csv', 'json', 'xml', 'tlog', 'Parquet', 'Python']","https://www.pracuj.pl/praca/junior-delivery-engineer-wroclaw-krupnicza-13,oferta,1003789035?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Brak tytułu,Inetum Polska,2025-01-04,Brak wynagrodzenia,['Azure'],Brak linku
Młodszy Specjalista / Młodsza Specjalistka ds. IT,Novago Sp. z o.o.,2025-01-04,5 000–6 500 zł brutto / mies.,Brak technologii,"https://www.pracuj.pl/praca/mlodszy-specjalista-mlodsza-specjalistka-ds-it-mlawa,oferta,1003806482?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Specjalista ds. Informatyki (Helpdesk - I Linia Wsparcia),GEODIS Road Network sp. z o.o.,2025-01-04,Brak wynagrodzenia,"['Android', 'Active Directory']","https://www.pracuj.pl/praca/specjalista-ds-informatyki-helpdesk-i-linia-wsparcia-blonie-spedycyjna-1,oferta,1003797775?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Staż w Departamencie Aktuarialnym (f/m/d),Allianz,2025-01-04,35 zł brutto / godz.,Brak technologii,"https://www.pracuj.pl/praca/staz-w-departamencie-aktuarialnym-f-m-d-warszawa,oferta,1003797763?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Tester manualny,HIRELY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2025-01-04,8 500–10 500 zł netto (+ VAT) / mies.,"['SoapUI', 'SQL']","https://www.pracuj.pl/praca/tester-manualny-wroclaw-plac-teatralny-1,oferta,1003797684?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Administrator Sieci i Systemów,CLICO Sp. z o.o.,2025-01-04,Brak wynagrodzenia,"['Active Directory', 'VMware']","https://www.pracuj.pl/praca/administrator-sieci-i-systemow-warszawa,oferta,1003797486?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Internship: Data Engineer & Data Analyst,Accenture Technology,2025-01-04,Brak wynagrodzenia,['SQL'],"https://www.pracuj.pl/praca/internship-data-engineer-data-analyst-warszawa,oferta,1003806287?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Młodszy Administrator IT,Wielton SA,2025-01-04,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/mlodszy-administrator-it-wielun-fabryczna-8,oferta,1003797470?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Application Security Specialist (She/He/They),Accenture Technology,2025-01-04,Brak wynagrodzenia,"['Java', '.NET', 'C#', 'JavaScript', 'Python']","https://www.pracuj.pl/praca/application-security-specialist-she-he-they-warszawa,oferta,1003806282?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Internship in Management Consulting,Accenture Strategy & Consulting,2025-01-04,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/internship-in-management-consulting-warszawa,oferta,1003806258?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Technik serwisu,EXORIGO UPOS S.A.,2025-01-04,Brak wynagrodzenia,"['Windows Server', 'Linux']","https://www.pracuj.pl/praca/technik-serwisu-szczecin,oferta,1003797395?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Młodszy Inżynier ds. Utrzymania Aplikacji (f/m/d),Allianz,2025-01-04,Brak wynagrodzenia,"['Nagios', 'Kibana', 'Zabbix', 'Oracle', 'MSSQL', 'PostgreSQL', 'Jira', 'Confluence', 'AutomateNOW']","https://www.pracuj.pl/praca/mlodszy-inzynier-ds-utrzymania-aplikacji-f-m-d-warszawa-inflancka-4,oferta,1003806213?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Brak tytułu,Bergman Engineering Sp. z o.o.,2025-01-04,Brak wynagrodzenia,Brak technologii,Brak linku
Junior Linux System Administrator,EXEA Sp. z o.o.,2025-01-04,Brak wynagrodzenia,"['Linux', 'Ubuntu', 'Debian', 'SSH', 'SFTP', 'bash', 'cron', 'systemd', 'Veeam', 'Acronis']","https://www.pracuj.pl/praca/junior-linux-system-administrator-torun-wloclawska-167,oferta,1003806115?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Brak tytułu,Sii Sp. z o.o.,2025-01-04,Brak wynagrodzenia,['.NET'],Brak linku
Business and systems Analyst (​​Capital Markets or Banking) Internship Program (She/He/They),Accenture Technology,2025-01-04,Brak wynagrodzenia,['SQL'],"https://www.pracuj.pl/praca/business-and-systems-analyst-capital-markets-or-banking-internship-program-she-h-warszawa,oferta,1003778485?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Junior Java/Kotlin Developer,Arvato,2025-01-04,Brak wynagrodzenia,"['Java', 'Kotlin']","https://www.pracuj.pl/praca/junior-java-kotlin-developer-poznan-wierzbiecice-1b,oferta,1003788324?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Administrator Systemów IT,AGROAS sp. z o.o.,2025-01-04,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/administrator-systemow-it-nowa-wies-mala-pow-brzeski-gm-grodkow,oferta,1003796942?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Junior Data Analyst,BESO LUX SP Z O O,2025-01-04,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/junior-data-analyst-lodz-ulica-generala-jaroslawa-dabrowskiego-234,oferta,1003796941?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Junior Cybersecurity Monitoring Analyst (SOC L1),EXEA Sp. z o.o.,2025-01-04,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/junior-cybersecurity-monitoring-analyst-soc-l1-torun-wloclawska-167,oferta,1003805869?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Junior IT Global Service Desk Specialist with Italian and Spanish,Swarovski Global Business Services,2025-01-04,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/junior-it-global-service-desk-specialist-with-italian-and-spanish-gdansk-norwida-5,oferta,1003805711?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Analityk Wdrożeniowy,Transition Technologies–Systems Sp. z o. o.,2025-01-04,6 500–9 000,"['Enterprise Architect', 'SQL', 'BPMN', 'UML']","https://www.pracuj.pl/praca/analityk-wdrozeniowy-lublin,oferta,1003805713?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Specjalista ds. Wsparcia IT / Help Desk Specialist,FLUOR S.A.,2025-01-04,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/specjalista-ds-wsparcia-it-help-desk-specialist-gliwice-prymasa-stefana-wyszynskiego-11,oferta,1003778177?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
Junior Fullstack Developer,Transfer Multisort Elektronik Sp. z o.o.,2025-01-04,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/junior-fullstack-developer-lodz-rozalii-1,oferta,1003778059?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
IT Support Engineer (2nd line),NOVOMATIC Technologies Poland Sp. z o.o.,2025-01-04,5 000–8 000,"['Windows Server', 'SQL', 'Linux']","https://www.pracuj.pl/praca/it-support-engineer-2nd-line-zabierzow-pow-krakowski-krakowska-368,oferta,1003796663?s=885d2942&searchId=MTczNjI5ODAyMjMyNS42NjY="
