Tytuł,Firma,Data opublikowania,Wynagrodzenie,Technologie,Link
Test Engineer,Wonder Miles,2025-01-08,5 500 - 8 000 pln,"['English', 'Programming', 'SQL']",https://justjoin.it/job-offer/wonder-miles-test-engineer-warszawa-testing
KYC Specialist,Experis Manpower Group,2025-01-04,13 440 - 23 520 pln,"['Fully remote', 'KYC', 'AML']",https://justjoin.it/job-offer/experis-manpower-group-kyc-specialist-warszawa-other
Senior Big Data Engineer,Experis Manpower Group,2025-01-04,28 560 - 35 280 pln,"['Fully remote', 'English', 'Cloud Computing', 'Apache Hadoop']",https://justjoin.it/job-offer/experis-manpower-group-senior-big-data-engineer-warszawa-data
Senior UX/UI Designer,The Rectangles,2025-01-04,12 000 - 18 000 pln,"['Fully remote', 'Figma', 'UX/UI', 'Analytical Thinking']",https://justjoin.it/job-offer/the-rectangles-senior-ux-ui-designer-gdansk-ux
Senior AI Data Engineer,Experis Manpower Group,2025-01-04,33 600 - 38 640 pln,"['Fully remote', 'Data Engineering', 'English', 'Cloud']",https://justjoin.it/job-offer/experis-manpower-group-senior-ai-data-engineer-warszawa-data
Software Asset Management (SAM) Analyst,Jit Team,2025-01-04,15 200 - 22 470 pln,"['Excel', 'SQL', 'SharePoint']",https://justjoin.it/job-offer/jit-team-software-asset-management-sam-analyst-warszawa-analytics
Software Engineer - RoR,Cornerstone OnDemand,2025-01-04,8 000 - 13 000 pln,"['Fully remote', 'Ruby on Rails', 'MySQL', 'AWS']",https://justjoin.it/job-offer/cornerstone-ondemand-software-engineer---ror-krakow-ruby
Head of Cryptography Agility and Post Quantum Capabilities,Antal Sp. z o.o.,2025-01-04,25 000 - 35 000 pln,['Computer science'],https://justjoin.it/job-offer/antal-sp-z-o-o--head-of-cryptography-agility-and-post-quantum-capabilities-krakow-security
JavaScript Fullstack Developer,Experis Manpower Group,2025-01-04,25 200 - 33 600 pln,"['Fully remote', 'JavaScript']",https://justjoin.it/job-offer/experis-manpower-group-javascript-fullstack-developer-warszawa-javascript
AWS Cloud Engineer,Experis Manpower Group,2025-01-04,30 240 - 33 600 pln,"['Fully remote', 'English', 'AWS']",https://justjoin.it/job-offer/experis-manpower-group-aws-cloud-engineer-warszawa-devops
Fullstack Python Developer,Experis Manpower Group,2025-01-04,25 200 - 33 600 pln,"['Fully remote', 'Python']",https://justjoin.it/job-offer/experis-manpower-group-fullstack-python-developer-warszawa-python
Senior Embedded Engineer,Softgent,2025-01-04,16 000 - 25 000 pln,"['RTOS', 'C', 'I2C']",https://justjoin.it/job-offer/softgent-senior-embedded-engineer-gdansk-c
Remote DevOps Engineer,Ligo Headhunters,2025-01-08,25 000 - 35 000 pln,"['Linux (Debian)', 'Azure DevOps', 'Docker']",https://justjoin.it/job-offer/ligo-headhunters-remote-devops-engineer-krakow-devops-f4b61f62
Customer Technical Support,XtraMile,2025-01-04,5 000 - 9 000 pln,"['MsSQL', 'API', 'TypeScript']",https://justjoin.it/job-offer/xtramile-customer-technical-support-gdansk-support
C++ Developer,Experis Manpower Group,2025-01-04,16 800 - 19 320 pln,"['Fully remote', 'Linux', 'C++', 'Agile']",https://justjoin.it/job-offer/experis-manpower-group-c-developer-warszawa-c
Technical Leader for DC migration project,HAYS Poland,2025-01-04,31 000 - 36 000 pln,"['Middleware', 'Infrastructure', 'Data Center']",https://justjoin.it/job-offer/hays-poland-technical-leader-for-dc-migration-project-warszawa-data
Product Owner,Avenga,2025-01-04,25 000 - 28 000 pln,"['Product backlog', 'product owner']",https://justjoin.it/job-offer/avenga-product-owner-warszawa-pm-95cf04b9
Azure Cloud Engineer,Experis Manpower Group,2025-01-04,30 240 - 33 600 pln,"['Fully remote', 'English', 'Azure', 'Powershell']",https://justjoin.it/job-offer/experis-manpower-group-azure-cloud-engineer-warszawa-devops
Cloud Security Architect,Experis Manpower Group,2025-01-04,33 600 - 38 640 pln,"['Fully remote', 'English', 'Security', 'Cloud']",https://justjoin.it/job-offer/experis-manpower-group-cloud-security-architect-warszawa-architecture-b6f4d756
Digital Marketing Specialist,Team Connect,2025-01-08,8 400 - 13 440 pln,"['Fully remote', 'Push Notifications', 'CRM', 'AEP']",https://justjoin.it/job-offer/team-connect-digital-marketing-specialist-warszawa-other
DevOps Engineer,Ness Solution,2025-01-04,19 000 - 23 500 pln,"['CI/CD', 'Docker', 'Podman']",https://justjoin.it/job-offer/ness-solution-devops-engineer-warszawa-devops-bda28a90
Tester Manualny,PhotoAiD,2025-01-04,40 - 45 pln,"['Fully remote', 'Jira', 'Mobile App Testing', 'Web Application Testing']",https://justjoin.it/job-offer/photoaid-tester-manualny-warszawa-testing
Junior DevOps Engineer,Match-Trade Technologies,2025-01-08,8 000 - 10 000 pln,"['AWS', 'Git', 'Elasticsearch']",https://justjoin.it/job-offer/match-trade-technologies-junior-devops-engineer-warszawa-devops-53335ec2
Senior DevOps Engineer,Match-Trade Technologies,2025-01-04,15 000 - 25 000 pln,"['Fully remote', 'Linux', 'AWS', 'Elasticsearch']",https://justjoin.it/job-offer/match-trade-technologies-senior-devops-engineer-warszawa-devops
Manual Tester,SCALO,2025-01-04,18 480 - 20 158 pln,"['Fully remote', 'WCAG', 'Adobe CC', 'NVDA']",https://justjoin.it/job-offer/scalo-manual-tester-katowice-testing
Senior ESG Data Engineer,Experis Manpower Group,2025-01-04,30 240 - 35 280 pln,"['Fully remote', 'ESG', 'Data Engineering', 'English']",https://justjoin.it/job-offer/experis-manpower-group-senior-esg-data-engineer-warszawa-data
Middle Power BI Engineer (part-time cooperation),N-iX,2025-01-04,12 367 - 15 665 pln,"['Fully remote', 'Power BI']",https://justjoin.it/job-offer/n-ix-middle-power-bi-engineer-part-time-cooperation--krakow-data
Senior Middleware and Automation Engineer,Experis Manpower Group,2025-01-04,28 560 - 31 080 pln,"['Fully remote', 'Azure', 'Powershell', 'T-SQL']",https://justjoin.it/job-offer/experis-manpower-group-senior-middleware-and-automation-engineer-warszawa-devops
Senior FullStack Engineer (Java + React),N-iX,2025-01-04,22 674 - 23 910 pln,"['Fully remote', 'Java', 'React', 'AWS']",https://justjoin.it/job-offer/n-ix-senior-fullstack-engineer-java-react--krakow-java
Senior Software Developer - Trading & Financial Markets,Jit Team,2025-01-04,19 000 - 25 830 pln,"['Java', 'Linux']",https://justjoin.it/job-offer/jit-team-senior-software-developer---trading-financial-markets-warszawa-java
Staff Backend Engineer,LeoVegas,2025-01-08,32 500 - 35 000 pln,"['Java', 'Microservices', 'Spring Boot']",https://justjoin.it/job-offer/leovegas-staff-backend-engineer-warszawa-java
Senior Java Developer - New Project,LeoVegas,2025-01-08,20 000 - 32 000 pln,"['Microservices', 'Java', 'MySQL']",https://justjoin.it/job-offer/leovegas-senior-java-developer---new-project-warszawa-java
C/C++ Developer,Experis Manpower Group,2025-01-08,23 520 - 26 880 pln,"['Fully remote', 'multi-threaded programming', 'C/C++']",https://justjoin.it/job-offer/experis-manpower-group-c-c-developer-warszawa-c-51a9ad07
Senior C++ Software Engineer,HERE Technologies,2025-01-08,14 000 - 20 000 pln,"['Fully remote', 'C++', 'Python', 'TypeScript']",https://justjoin.it/job-offer/here-technologies-senior-c-software-engineer-krakow-other
Senior DevOps Engineer (AWS),Future Processing,2025-01-08,21 000 - 33 200 pln,"['Fully remote', 'AWS', 'Terraform', 'Kubernetes']",https://justjoin.it/job-offer/future-processing-senior-devops-engineer-aws--gliwice-devops
Lead Data Engineer (Snowflake),N-iX,2025-01-08,26 796 - 32 980 pln,"['Fully remote', 'Cloud', 'DBT', 'SQL']",https://justjoin.it/job-offer/n-ix-lead-data-engineer-snowflake--warszawa-data
QA Engineer,AVSystem,2025-01-08,10 000 - 18 000 pln,"['Networks', 'Gatling', 'Scripting language']",https://justjoin.it/job-offer/avsystem-qa-engineer-krakow-testing
C++ Developer (Tuxedo),Experis Manpower Group,2025-01-08,26 880 - 28 560 pln,"['Fully remote', 'C++', 'Tuxedo']",https://justjoin.it/job-offer/experis-manpower-group-c-developer-tuxedo--warszawa-c-18d010c4
Senior ReactJS Developer (with backend experience),USEO Sp. z o.o.,2025-01-08,19 200 - 22 400 pln,"['Fully remote', 'ReactJS', 'TypeScript', 'CSS3']",https://justjoin.it/job-offer/useo-sp-z-o-o--senior-reactjs-developer-with-backend-experience--wroclaw-javascript-1de6e8af
Data Engineer,Kitopi,2025-01-04,16 000 - 24 000 pln,"['Polish', 'English', 'Python']",https://justjoin.it/job-offer/kitopi-data-engineer-krakow-data
Angular Developer (Mid/Senior),Experis Manpower Group,2025-01-08,20 160 - 30 240 pln,"['Fully remote', 'TypeScript', 'RxJS', 'UI/UX']",https://justjoin.it/job-offer/experis-manpower-group-angular-developer-mid-senior--warszawa-ux
Front-end Developer,Weegree Sp. z o.o.,2025-01-08,8 500 - 12 500 pln,"['HTML5', 'CSS3', 'React']",https://justjoin.it/job-offer/weegree-sp-z-o-o--front-end-developer-opole-html
Programista Java,Atende Industries,2025-01-08,10 000 - 18 000 pln,"['Oracle SQL', 'Spring Boot', 'RabbitMQ']",https://justjoin.it/job-offer/atende-industries-programista-java-warszawa-java
Senior Database Administrator,Experis Manpower Group,2025-01-04,23 520 - 28 560 pln,"['Fully remote', 'English', 'Database administration']",https://justjoin.it/job-offer/experis-manpower-group-senior-database-administrator-warszawa-admin
Senior Database Developer,Experis Manpower Group,2025-01-04,23 520 - 28 560 pln,"['Fully remote', 'SQL', 'English', 'Oracle']",https://justjoin.it/job-offer/experis-manpower-group-senior-database-developer-warszawa-data
AI Engineer,Experis Manpower Group,2025-01-04,30 240 - 36 960 pln,"['Fully remote', 'English', 'AI/ML', 'Python']",https://justjoin.it/job-offer/experis-manpower-group-ai-engineer-warszawa-ai
Senior Mainframe Administrator,Experis Manpower Group,2025-01-04,28 560 - 38 640 pln,"['Fully remote', 'Mainframe systems management', 'z/os']",https://justjoin.it/job-offer/experis-manpower-group-senior-mainframe-administrator-warszawa-admin
Senior Python Developer,Detable,2025-01-08,20 160 - 22 680 pln,"['Fully remote', 'Python', 'PostgreSQL', 'Linux']",https://justjoin.it/job-offer/detable-senior-python-developer-warszawa-python
Business and Systems Analyst,Experis Manpower Group,2025-01-04,16 800 - 30 240 pln,"['Fully remote', 'English', 'Business Analysis', 'Jira']",https://justjoin.it/job-offer/experis-manpower-group-business-and-systems-analyst-warszawa-analytics
KYC Specialist,Experis Manpower Group,2025-01-04,13 440 - 23 520 pln,"['Fully remote', 'KYC', 'AML']",https://justjoin.it/job-offer/experis-manpower-group-kyc-specialist-warszawa-other
Senior Big Data Engineer,Experis Manpower Group,2025-01-04,28 560 - 35 280 pln,"['Fully remote', 'English', 'Cloud Computing', 'Apache Hadoop']",https://justjoin.it/job-offer/experis-manpower-group-senior-big-data-engineer-warszawa-data
Senior UX/UI Designer,The Rectangles,2025-01-04,12 000 - 18 000 pln,"['Fully remote', 'Figma', 'UX/UI', 'Analytical Thinking']",https://justjoin.it/job-offer/the-rectangles-senior-ux-ui-designer-gdansk-ux
Senior AI Data Engineer,Experis Manpower Group,2025-01-04,33 600 - 38 640 pln,"['Fully remote', 'Data Engineering', 'English', 'Cloud']",https://justjoin.it/job-offer/experis-manpower-group-senior-ai-data-engineer-warszawa-data
Software Asset Management (SAM) Analyst,Jit Team,2025-01-04,15 200 - 22 470 pln,"['Excel', 'SQL', 'SharePoint']",https://justjoin.it/job-offer/jit-team-software-asset-management-sam-analyst-warszawa-analytics
Software Engineer - RoR,Cornerstone OnDemand,2025-01-04,8 000 - 13 000 pln,"['Fully remote', 'Ruby on Rails', 'MySQL', 'AWS']",https://justjoin.it/job-offer/cornerstone-ondemand-software-engineer---ror-krakow-ruby
Head of Cryptography Agility and Post Quantum Capabilities,Antal Sp. z o.o.,2025-01-04,25 000 - 35 000 pln,['Computer science'],https://justjoin.it/job-offer/antal-sp-z-o-o--head-of-cryptography-agility-and-post-quantum-capabilities-krakow-security
JavaScript Fullstack Developer,Experis Manpower Group,2025-01-04,25 200 - 33 600 pln,"['Fully remote', 'JavaScript']",https://justjoin.it/job-offer/experis-manpower-group-javascript-fullstack-developer-warszawa-javascript
AWS Cloud Engineer,Experis Manpower Group,2025-01-04,30 240 - 33 600 pln,"['Fully remote', 'English', 'AWS']",https://justjoin.it/job-offer/experis-manpower-group-aws-cloud-engineer-warszawa-devops
Fullstack Python Developer,Experis Manpower Group,2025-01-04,25 200 - 33 600 pln,"['Fully remote', 'Python']",https://justjoin.it/job-offer/experis-manpower-group-fullstack-python-developer-warszawa-python
Senior Embedded Engineer,Softgent,2025-01-04,16 000 - 25 000 pln,"['RTOS', 'C', 'I2C']",https://justjoin.it/job-offer/softgent-senior-embedded-engineer-gdansk-c
Remote DevOps Engineer,Ligo Headhunters,2025-01-08,25 000 - 35 000 pln,"['Linux (Debian)', 'Azure DevOps', 'Docker']",https://justjoin.it/job-offer/ligo-headhunters-remote-devops-engineer-krakow-devops-f4b61f62
Customer Technical Support,XtraMile,2025-01-04,5 000 - 9 000 pln,"['MsSQL', 'API', 'TypeScript']",https://justjoin.it/job-offer/xtramile-customer-technical-support-gdansk-support
C++ Developer,Experis Manpower Group,2025-01-04,16 800 - 19 320 pln,"['Fully remote', 'Linux', 'C++', 'Agile']",https://justjoin.it/job-offer/experis-manpower-group-c-developer-warszawa-c
Technical Leader for DC migration project,HAYS Poland,2025-01-04,31 000 - 36 000 pln,"['Middleware', 'Infrastructure', 'Data Center']",https://justjoin.it/job-offer/hays-poland-technical-leader-for-dc-migration-project-warszawa-data
Product Owner,Avenga,2025-01-04,25 000 - 28 000 pln,"['Product backlog', 'product owner']",https://justjoin.it/job-offer/avenga-product-owner-warszawa-pm-95cf04b9
Azure Cloud Engineer,Experis Manpower Group,2025-01-04,30 240 - 33 600 pln,"['Fully remote', 'English', 'Azure', 'Powershell']",https://justjoin.it/job-offer/experis-manpower-group-azure-cloud-engineer-warszawa-devops
Cloud Security Architect,Experis Manpower Group,2025-01-04,33 600 - 38 640 pln,"['Fully remote', 'English', 'Security', 'Cloud']",https://justjoin.it/job-offer/experis-manpower-group-cloud-security-architect-warszawa-architecture-b6f4d756
Digital Marketing Specialist,Team Connect,2025-01-08,8 400 - 13 440 pln,"['Fully remote', 'Push Notifications', 'CRM', 'AEP']",https://justjoin.it/job-offer/team-connect-digital-marketing-specialist-warszawa-other
DevOps Engineer,Ness Solution,2025-01-04,19 000 - 23 500 pln,"['CI/CD', 'Docker', 'Podman']",https://justjoin.it/job-offer/ness-solution-devops-engineer-warszawa-devops-bda28a90
Tester Manualny,PhotoAiD,2025-01-04,40 - 45 pln,"['Fully remote', 'Jira', 'Mobile App Testing', 'Web Application Testing']",https://justjoin.it/job-offer/photoaid-tester-manualny-warszawa-testing
Junior DevOps Engineer,Match-Trade Technologies,2025-01-08,8 000 - 10 000 pln,"['AWS', 'Git', 'Elasticsearch']",https://justjoin.it/job-offer/match-trade-technologies-junior-devops-engineer-warszawa-devops-53335ec2
Senior DevOps Engineer,Match-Trade Technologies,2025-01-04,15 000 - 25 000 pln,"['Fully remote', 'Linux', 'AWS', 'Elasticsearch']",https://justjoin.it/job-offer/match-trade-technologies-senior-devops-engineer-warszawa-devops
Manual Tester,SCALO,2025-01-04,18 480 - 20 158 pln,"['Fully remote', 'WCAG', 'Adobe CC', 'NVDA']",https://justjoin.it/job-offer/scalo-manual-tester-katowice-testing
Senior ESG Data Engineer,Experis Manpower Group,2025-01-04,30 240 - 35 280 pln,"['Fully remote', 'ESG', 'Data Engineering', 'English']",https://justjoin.it/job-offer/experis-manpower-group-senior-esg-data-engineer-warszawa-data
Senior Vue.js Frontend Developer,DevsData LLC,2025-01-08,17 063 - 21 328 pln,"['Fully remote', 'RESTful API', 'CSS', 'Vue.js']",https://justjoin.it/job-offer/devsdata-llc-senior-vue-js-frontend-developer-warszawa-javascript
Data Scientist,QED.ai,2025-01-04,16 000 - 26 000 pln,"['Machine Learning', 'Python', 'Big Data']",https://justjoin.it/job-offer/qed-ai-data-scientist-warszawa-ai
Software Engineer,QED.ai,2025-01-04,15 000 - 26 000 pln,"['Software Development', 'Software Architecture', 'React']",https://justjoin.it/job-offer/qed-ai-software-engineer-warszawa-python
AI Practice Principal,Netguru,2025-01-04,17 300 - 28 900 pln,"['Fully remote', 'AI', 'AI/ML']",https://justjoin.it/job-offer/netguru-ai-practice-principal-warszawa-ai
Site Reliability Engineer (SRE),QED.ai,2025-01-04,19 000 - 28 000 pln,"['IaC', 'English', 'Linux']",https://justjoin.it/job-offer/qed-ai-site-reliability-engineer-sre--warszawa-devops
Manual Tester/QA,SCALO,2024-12-25,16 800 - 18 480 pln,"['Fully remote', 'MS Excel', 'Microsoft SQL', 'TestLink']",https://justjoin.it/job-offer/scalo-manual-tester-qa-lodz-testing
Principal Software Architect,HTD,2025-01-04,26 000 - 30 000 pln,"['Fully remote', 'SQL', '.Net', 'Git']",https://justjoin.it/job-offer/htd-principal-software-architect-lodz-net
Backend Developer,Schibsted Tech Polska,2025-01-08,17 000 - 25 000 pln,"['Kotlin', 'Java']",https://justjoin.it/job-offer/schibsted-tech-polska-backend-developer-krakow-java
Mid or Senior React Native Developer,HTD,2025-01-04,11 000 - 26 400 pln,"['Fully remote', 'JavaScript', 'React Native', 'React']",https://justjoin.it/job-offer/htd-mid-or-senior-react-native-developer-lodz-javascript
Mid or Senior Frontend Developer,HTD,2025-01-04,11 000 - 26 400 pln,"['Fully remote', 'JavaScript', 'React']",https://justjoin.it/job-offer/htd-mid-or-senior-frontend-developer-lodz-javascript
Mid or Senior .NET Developer,HTD,2025-01-04,11 000 - 26 400 pln,"['Fully remote', '.Net', 'SQL', 'AWS']",https://justjoin.it/job-offer/htd-mid-or-senior-net-developer-lodz-net
"DevOps Engineer (k8s, Ansible, Linux)",7N,2025-01-04,23 520 - 28 560 pln,"['Linux', 'Kubernetes', 'PostgreSQL']",https://justjoin.it/job-offer/7n-devops-engineer-k8s-ansible-linux--warszawa-devops
"Fullstack Developer (Python, React, Django)",7N,2025-01-04,23 520 - 28 560 pln,"['Python', 'Django', 'React']",https://justjoin.it/job-offer/7n-fullstack-developer-python-react-django--warszawa-python
Fullstack Developer,MindPal,2025-01-08,8 000 - 12 000 pln,"['Fully remote', 'English', 'HTML5 / CSS3', 'JavaScript']",https://justjoin.it/job-offer/mindpal-fullstack-developer-gliwice-ai
Delphi Developer,SCALO,2024-12-25,20 160 - 25 200 pln,"['Fully remote', 'SQL Server', 'Agile', 'Delphi']",https://justjoin.it/job-offer/scalo-delphi-developer-katowice-other
Full-Stack Developer (PHP + React),adsfox,2025-01-04,10 000 - 15 000 pln,"['PHP', 'JavaScript', 'SQL']",https://justjoin.it/job-offer/adsfox-full-stack-developer-php-react--krakow-php
BI Data Engineer,Tylko,2025-01-04,26 000 - 30 000 pln,"['SQL', 'Python', 'Big Data']",https://justjoin.it/job-offer/tylko-bi-data-engineer-warszawa-data
Front-end Developer,Tylko,2025-01-04,15 000 - 20 000 pln,"['JavaScript', 'Nuxt', 'Vue']",https://justjoin.it/job-offer/tylko-front-end-developer-warszawa-javascript
Back-end Developer (Python/Django),Tylko,2025-01-04,15 000 - 20 000 pln,"['Python', 'Django', 'REST API']",https://justjoin.it/job-offer/tylko-back-end-developer-python-django--warszawa-python
Junior QA Specialist (web),Tylko,2025-01-04,8 000 - 12 000 pln,"['Testing Tools', 'Manual Testing']",https://justjoin.it/job-offer/tylko-junior-qa-specialist-web--warszawa-testing
Senior Data Engineer (DataBricks + SQL + Python),SCALO,2024-12-25,20 160 - 25 200 pln,"['MS SQL', 'Databricks', 'Python']",https://justjoin.it/job-offer/scalo-senior-data-engineer-databricks-sql-python--wroclaw-data-5f96349b
Senior Data Engineer (Azure),SCALO,2024-12-25,20 160 - 25 200 pln,"['Azure Data Factory', 'MS SQL', 'SQL']",https://justjoin.it/job-offer/scalo-senior-data-engineer-azure--wroclaw-data-0f07579e
Technical IT Project Manager,N-iX,2025-01-04,16 490 - 19 788 pln,"['Fully remote', 'SDLC', 'Microsoft 365', 'Project Management']",https://justjoin.it/job-offer/n-ix-technical-it-project-manager-krakow-pm
Fullstack Developer,SCALO,2024-12-25,20 160 - 23 520 pln,"['Fully remote', 'JavaScript', 'Java', 'GCP']",https://justjoin.it/job-offer/scalo-fullstack-developer-katowice-java-45bed5a4
Senior Fullstack Developer (Laravel & Angular),DevsData LLC,2025-01-04,22 674 - 27 621 pln,"['Fully remote', 'Laravel', 'Angular']",https://justjoin.it/job-offer/devsdata-llc-senior-fullstack-developer-laravel-angular--warsaw-php
Chief Operating Officer,Rimedo sp. z o.o.,2024-12-25,15 000 - 20 000 pln,"['Project Management', 'Communication', 'Leadership']",https://justjoin.it/job-offer/rimedo-sp-z-o-o--chief-operating-officer-poznan-other
Lead DevOps Engineer,j-labs,2025-01-08,30 240 - 36 960 pln,"['Airflow', 'GCP', 'Terraform']",https://justjoin.it/job-offer/j-labs-lead-devops-engineer-niepolomice-devops
Senior Backend Developer,Jutro Medical,2025-01-08,16 500 - 25 000 pln,"['TypeScript', 'Node.js', 'PostgreSQL']",https://justjoin.it/job-offer/jutro-medical-senior-backend-developer-warszawa-javascript-e88f4249
.Net Developer,SCALO,2025-01-08,25 000 - 28 560 pln,"['Fully remote', '.NET C#', 'PostgreSQL', 'C#']",https://justjoin.it/job-offer/scalo--net-developer-wroclaw-net
Automation Tester/QA (JAVA),SCALO,2025-01-08,18 480 - 23 520 pln,"['Fully remote', 'SQL', 'SoapUI', 'Postman']",https://justjoin.it/job-offer/scalo-automation-tester-qa-java--katowice-testing-56771e25
Senior Vue.js Frontend Developer,DevsData LLC,2025-01-08,17 063 - 21 328 pln,"['Fully remote', 'RESTful API', 'CSS', 'Vue.js']",https://justjoin.it/job-offer/devsdata-llc-senior-vue-js-frontend-developer-warszawa-javascript
Data Scientist,QED.ai,2025-01-04,16 000 - 26 000 pln,"['Machine Learning', 'Python', 'Big Data']",https://justjoin.it/job-offer/qed-ai-data-scientist-warszawa-ai
Software Engineer,QED.ai,2025-01-04,15 000 - 26 000 pln,"['Software Development', 'Software Architecture', 'React']",https://justjoin.it/job-offer/qed-ai-software-engineer-warszawa-python
AI Practice Principal,Netguru,2025-01-04,17 300 - 28 900 pln,"['Fully remote', 'AI', 'AI/ML']",https://justjoin.it/job-offer/netguru-ai-practice-principal-warszawa-ai
Site Reliability Engineer (SRE),QED.ai,2025-01-04,19 000 - 28 000 pln,"['IaC', 'English', 'Linux']",https://justjoin.it/job-offer/qed-ai-site-reliability-engineer-sre--warszawa-devops
Manual Tester/QA,SCALO,2024-12-25,16 800 - 18 480 pln,"['Fully remote', 'MS Excel', 'Microsoft SQL', 'TestLink']",https://justjoin.it/job-offer/scalo-manual-tester-qa-lodz-testing
Principal Software Architect,HTD,2025-01-04,26 000 - 30 000 pln,"['Fully remote', 'SQL', '.Net', 'Git']",https://justjoin.it/job-offer/htd-principal-software-architect-lodz-net
Backend Developer,Schibsted Tech Polska,2025-01-08,17 000 - 25 000 pln,"['Kotlin', 'Java']",https://justjoin.it/job-offer/schibsted-tech-polska-backend-developer-krakow-java
Mid or Senior React Native Developer,HTD,2025-01-04,11 000 - 26 400 pln,"['Fully remote', 'JavaScript', 'React Native', 'React']",https://justjoin.it/job-offer/htd-mid-or-senior-react-native-developer-lodz-javascript
Mid or Senior Frontend Developer,HTD,2025-01-04,11 000 - 26 400 pln,"['Fully remote', 'JavaScript', 'React']",https://justjoin.it/job-offer/htd-mid-or-senior-frontend-developer-lodz-javascript
Mid or Senior .NET Developer,HTD,2025-01-04,11 000 - 26 400 pln,"['Fully remote', '.Net', 'SQL', 'AWS']",https://justjoin.it/job-offer/htd-mid-or-senior-net-developer-lodz-net
"DevOps Engineer (k8s, Ansible, Linux)",7N,2025-01-04,23 520 - 28 560 pln,"['Linux', 'Kubernetes', 'PostgreSQL']",https://justjoin.it/job-offer/7n-devops-engineer-k8s-ansible-linux--warszawa-devops
"Fullstack Developer (Python, React, Django)",7N,2025-01-04,23 520 - 28 560 pln,"['Python', 'Django', 'React']",https://justjoin.it/job-offer/7n-fullstack-developer-python-react-django--warszawa-python
Fullstack Developer,MindPal,2025-01-08,8 000 - 12 000 pln,"['Fully remote', 'English', 'HTML5 / CSS3', 'JavaScript']",https://justjoin.it/job-offer/mindpal-fullstack-developer-gliwice-ai
Delphi Developer,SCALO,2024-12-25,20 160 - 25 200 pln,"['Fully remote', 'SQL Server', 'Agile', 'Delphi']",https://justjoin.it/job-offer/scalo-delphi-developer-katowice-other
Full-Stack Developer (PHP + React),adsfox,2025-01-04,10 000 - 15 000 pln,"['PHP', 'JavaScript', 'SQL']",https://justjoin.it/job-offer/adsfox-full-stack-developer-php-react--krakow-php
BI Data Engineer,Tylko,2025-01-04,26 000 - 30 000 pln,"['SQL', 'Python', 'Big Data']",https://justjoin.it/job-offer/tylko-bi-data-engineer-warszawa-data
Front-end Developer,Tylko,2025-01-04,15 000 - 20 000 pln,"['JavaScript', 'Nuxt', 'Vue']",https://justjoin.it/job-offer/tylko-front-end-developer-warszawa-javascript
Back-end Developer (Python/Django),Tylko,2025-01-04,15 000 - 20 000 pln,"['Python', 'Django', 'REST API']",https://justjoin.it/job-offer/tylko-back-end-developer-python-django--warszawa-python
Junior QA Specialist (web),Tylko,2025-01-04,8 000 - 12 000 pln,"['Testing Tools', 'Manual Testing']",https://justjoin.it/job-offer/tylko-junior-qa-specialist-web--warszawa-testing
Senior Data Engineer (DataBricks + SQL + Python),SCALO,2024-12-25,20 160 - 25 200 pln,"['MS SQL', 'Databricks', 'Python']",https://justjoin.it/job-offer/scalo-senior-data-engineer-databricks-sql-python--wroclaw-data-5f96349b
Senior Data Engineer (Azure),SCALO,2024-12-25,20 160 - 25 200 pln,"['Azure Data Factory', 'MS SQL', 'SQL']",https://justjoin.it/job-offer/scalo-senior-data-engineer-azure--wroclaw-data-0f07579e
Technical IT Project Manager,N-iX,2025-01-04,16 490 - 19 788 pln,"['Fully remote', 'SDLC', 'Microsoft 365', 'Project Management']",https://justjoin.it/job-offer/n-ix-technical-it-project-manager-krakow-pm
Fullstack Developer,SCALO,2024-12-25,20 160 - 23 520 pln,"['Fully remote', 'JavaScript', 'Java', 'GCP']",https://justjoin.it/job-offer/scalo-fullstack-developer-katowice-java-45bed5a4
Senior Fullstack Developer (Laravel & Angular),DevsData LLC,2025-01-04,22 674 - 27 621 pln,"['Fully remote', 'Laravel', 'Angular']",https://justjoin.it/job-offer/devsdata-llc-senior-fullstack-developer-laravel-angular--warsaw-php
Chief Operating Officer,Rimedo sp. z o.o.,2024-12-25,15 000 - 20 000 pln,"['Project Management', 'Communication', 'Leadership']",https://justjoin.it/job-offer/rimedo-sp-z-o-o--chief-operating-officer-poznan-other
Lead DevOps Engineer,j-labs,2025-01-08,30 240 - 36 960 pln,"['Airflow', 'GCP', 'Terraform']",https://justjoin.it/job-offer/j-labs-lead-devops-engineer-niepolomice-devops
Web Scraping Engineer,REPS & Company Inc.,2025-01-08,20 612 - 41 225 pln,"['Fully remote', 'Selenium', 'Playwright', 'React']",https://justjoin.it/job-offer/reps-company-inc--web-scraping-engineer-san-diego-python
Senior Backend Developer,Jutro Medical,2025-01-08,16 500 - 25 000 pln,"['TypeScript', 'Node.js', 'PostgreSQL']",https://justjoin.it/job-offer/jutro-medical-senior-backend-developer-warszawa-javascript-e88f4249
.Net Developer,SCALO,2025-01-08,25 000 - 28 560 pln,"['Fully remote', '.NET C#', 'PostgreSQL', 'C#']",https://justjoin.it/job-offer/scalo--net-developer-wroclaw-net
Automation Tester/QA (JAVA),SCALO,2025-01-08,18 480 - 23 520 pln,"['Fully remote', 'SQL', 'SoapUI', 'Postman']",https://justjoin.it/job-offer/scalo-automation-tester-qa-java--katowice-testing-56771e25
