Tytuł,Firma,Data opublikowania,Wynagrodzenie,Technologie,Link,Wynagrodzenie_min,Wynagrodzenie_max,Waluta,Wynagrodzenie_avg
Power Apps Developer (MS Dynamics 365 CE),Experis Manpower Group,2025-01-08,25200-28560pln,"['Fully remote', 'Power Automate', 'Dynamics 365 CE', 'Power Apps']",https://justjoin.it/job-offer/experis-manpower-group-power-apps-developer-ms-dynamics-365-ce--lodz-other,25200.0,28560.0,PLN,26880.0
.Net Developer,Aspire Systems Poland,2025-01-08,13000-16000pln,"['Fully remote', 'ASP.NET', 'JavaScript', 'MS SQL']",https://justjoin.it/job-offer/aspire-systems-poland--net-developer-gdansk-net-f5ea07b1,13000.0,16000.0,PLN,14500.0
Identity and Access Management Support Engineer,Experis Manpower Group,2025-01-08,25200-28560pln,"['Fully remote', 'IAM', 'PAM', 'SOAP']",https://justjoin.it/job-offer/experis-manpower-group-identity-and-access-management-support-engineer-lodz-security,25200.0,28560.0,PLN,26880.0
DevOps Engineer with AWS (US East Coast working hours),Acaisoft,2025-01-08,20000-31000pln,"['Fully remote', 'Docker', 'AWS', 'CI/CD']",https://justjoin.it/job-offer/acaisoft-devops-engineer-with-aws-us-east-coast-working-hours--warszawa-devops,20000.0,31000.0,PLN,25500.0
Senior Scala/Java Developer,Experis Manpower Group,2025-01-08,30240-35280pln,"['Fully remote', 'Databases', 'Java', 'Scala']",https://justjoin.it/job-offer/experis-manpower-group-senior-scala-java-developer-lodz-scala,30240.0,35280.0,PLN,32760.0
Senior Java FullStack Developer,Experis Manpower Group,2025-01-08,28560-33600pln,"['Fully remote', 'Hibernate', 'Java', 'PostreSQL']",https://justjoin.it/job-offer/experis-manpower-group-senior-java-fullstack-developer-lodz-java,28560.0,33600.0,PLN,31080.0
M365 Migration Engineer,Jolera,2025-01-08,20000-40000pln,"['Fully remote', 'M365', 'Azure Active Directory', 'Google Workspace']",https://justjoin.it/job-offer/jolera-m365-migration-engineer-warszawa-admin,20000.0,40000.0,PLN,30000.0
Product Manager,BOLD PL,2025-01-08,12000-14000pln,"['Fully remote', 'English skills', 'Product Management', 'A/B testing experience']",https://justjoin.it/job-offer/bold-pl-product-manager-marketing-ltv--warszawa-pm,12000.0,14000.0,PLN,13000.0
C++ Software Engineer,Robotec.ai,2025-01-08,12500-25000pln,"['Git', 'Linux', 'Unit Testing']",https://justjoin.it/job-offer/robotec-ai-c-software-engineer-warszawa-c-0f50690f,12500.0,25000.0,PLN,18750.0
RMD Configuration Specialist,Jit Team,2025-01-08,9500-21000pln,"['Fully remote', 'SQL', 'Oracle', 'RDBMS']",https://justjoin.it/job-offer/jit-team-rmd-configuration-specialist-warszawa-data,9500.0,21000.0,PLN,15250.0
Software Development Engineer III - Java,Tesco Technology,2025-01-08,26000-36000pln,"['Java', 'Git', 'Spring']",https://justjoin.it/job-offer/tesco-technology-software-development-engineer-iii---java-krakow-java,26000.0,36000.0,PLN,31000.0
Backend Software Engineer – Golang,HAYS Poland,2025-01-08,21000-28000pln,"['Fully remote', 'Integration Test', 'Golang', 'SQL']",https://justjoin.it/job-offer/hays-poland-backend-software-engineer---golang-krakow-go,21000.0,28000.0,PLN,24500.0
Kubernetes Administrator,Link Group,2025-01-08,20000-24000pln,"['Kubernetes', 'OpenShift', 'Networking']",https://justjoin.it/job-offer/link-group-kubernetes-administrator-warszawa-admin,20000.0,24000.0,PLN,22000.0
Scrum Master (Pharma),Benchy sp. z o.o,2025-01-08,25600-33600pln,"['Fully remote', 'Scrum@Scale', 'Jira', 'Confluence']",https://justjoin.it/job-offer/benchy-sp-z-o-o-scrum-master-pharma--katowice-pm,25600.0,33600.0,PLN,29600.0
Senior Java Developer,Dom Maklerski BOŚ SA,2025-01-08,16000-26000pln,"['Fully remote', 'Spring', 'Apache Kafka', 'Git']",https://justjoin.it/job-offer/dom-maklerski-bos-sa-senior-java-developer-bielsko-biala-java-b2eea02c,16000.0,26000.0,PLN,21000.0
React Native Developer,Optiveum,2025-01-08,19000-24000pln,"['JavaScript', 'TypeScript', 'React Native']",https://justjoin.it/job-offer/optiveum-react-native-developer-warszawa-javascript,19000.0,24000.0,PLN,21500.0
Node.js BackEnd Developer,Optiveum,2025-01-08,18000-25000pln,"['TypeScript', 'JavaScript', 'Node.js']",https://justjoin.it/job-offer/optiveum-node-js-backend-developer,18000.0,25000.0,PLN,21500.0
Konsultant SAP FICO,ITFS,2025-01-08,26900-30200pln,"['Fully remote', 'SAP FI-GL', 'SAP FI-TAX', 'SAP FICO']",https://justjoin.it/job-offer/itfs-konsultant-sap-fico-warszawa-erp,26900.0,30200.0,PLN,28550.0
Lead Java Engineer,N-iX,2025-01-08,25392-30716pln,"['Fully remote', 'Spring Boot', 'Maven', 'Java']",https://justjoin.it/job-offer/n-ix-lead-java-engineer-warszawa-java-f4f4f615,25392.0,30716.0,PLN,28054.0
Software Engineer (Genesys),Experis Manpower Group,2025-01-08,23520-28560pln,"['Fully remote', 'English', 'Java', 'JavaScript']",https://justjoin.it/job-offer/experis-manpower-group-software-engineer-genesys--warszawa-other,23520.0,28560.0,PLN,26040.0
Lead Embedded Electronics Engineer  (Hardware/ Software),DefendEye P.S.A.,2025-01-08,15000-30000pln,"['Embedded Systems', 'Embedded C', 'Embedded Linux']",https://justjoin.it/job-offer/defendeye-p-s-a--lead-embedded-electronics-engineer-hardware-software--krakow-c,15000.0,30000.0,PLN,22500.0
Full-Stack Cloud Architect & Engineer (Real-Time Video Streaming),DefendEye P.S.A.,2025-01-04,15000-30000pln,"['Next.js', 'Node.js', 'Golang']",https://justjoin.it/job-offer/defendeye-p-s-a--full-stack-cloud-architect-engineer-real-time-video-streaming--krakow-go,15000.0,30000.0,PLN,22500.0
SAP Project Manager,Experis Manpower Group,2025-01-08,26880-33600pln,"['Fully remote', 'Stakeholders management', 'Requirement management']",https://justjoin.it/job-offer/experis-manpower-group-sap-project-manager-lodz-erp,26880.0,33600.0,PLN,30240.0
Java Developer with Angular,Acaisoft,2025-01-08,9000-18000pln,"['Fully remote', 'English', 'Spring', 'PostgreSQL']",https://justjoin.it/job-offer/acaisoft-java-developer-warszawa-java,9000.0,18000.0,PLN,13500.0
Senior Java Developer with Angular,Acaisoft,2025-01-08,17000-22000pln,"['Fully remote', 'Docker', 'Spring', 'Java 8']",https://justjoin.it/job-offer/acaisoft-senior-java-developer-warszawa-java,17000.0,22000.0,PLN,19500.0
Junior Java Developer with Angular,Acaisoft,2025-01-08,5500-10000pln,"['Fully remote', 'English', 'Java 8', 'Spring']",https://justjoin.it/job-offer/acaisoft-junior-java-developer-warszawa-java,5500.0,10000.0,PLN,7750.0
Network Administrator,Macrobond Financial,2025-01-08,16000-20000pln,"['DNS', 'DHCP', 'TCP/IP']",https://justjoin.it/job-offer/macrobond-financial-network-administrator-szczecin-admin,16000.0,20000.0,PLN,18000.0
SAP Security Consultant,Experis Manpower Group,2025-01-08,28560-36960pln,"['Fully remote', 'SAP Security', 'Risk Management', 'SAP GRC']",https://justjoin.it/job-offer/experis-manpower-group-sap-security-consultant-lodz-erp,28560.0,36960.0,PLN,32760.0
SAP ABAP Developer,Experis Manpower Group,2025-01-08,28560-33600pln,"['Fully remote', 'SAP Design', 'ABAP development', 'SAP S/4 HANA']",https://justjoin.it/job-offer/experis-manpower-group-sap-abap-developer-lodz-erp,28560.0,33600.0,PLN,31080.0
Senior Embedded C/C++ Developer,Clurgo,2025-01-08,25200-26880pln,"['Fully remote', 'ESP-IDF', 'C/C++', 'RTOS']",https://justjoin.it/job-offer/clurgo-senior-embedded-c-c-developer-warszawa-c,25200.0,26880.0,PLN,26040.0
Backend Developer - AI Engineering,Text SA,2025-01-08,21000-33000pln,"['Elasticsearch', 'Golang', 'Node.js']",https://justjoin.it/job-offer/text-sa-backend-developer---ai-engineering-wroclaw-go-9b4586bb,21000.0,33000.0,PLN,27000.0
Software Engineer,Asana,2025-01-08,29000-36000pln,"['Node.js', 'TypeScript', 'React']",https://justjoin.it/job-offer/asana-software-engineer-warszawa-javascript-72e94920,29000.0,36000.0,PLN,32500.0
SAP Fiori Developer,Experis Manpower Group,2025-01-08,28560-36960pln,"['Fully remote', 'sap ui5', 'SAP Fiori', 'S/4 HANA']",https://justjoin.it/job-offer/experis-manpower-group-sap-fiori-developer-lodz-erp,28560.0,36960.0,PLN,32760.0
Senior Computer Vision Engineer,N-iX,2025-01-08,22525-26620pln,"['Fully remote', 'AWS', 'Python', 'Computer Vision']",https://justjoin.it/job-offer/n-ix-senior-computer-vision-engineer-warszawa-ai,22525.0,26620.0,PLN,24572.5
